"","OP_CODE","SumMaxN","Year","TimeFirstFed","Family","Genus","Species","Scientific","TimeFirstSeen","HasFed","DelayToFeed","Depth","Coral","Habitat","Complexity","Treatment","Gensp","Length","Size_class","Shark_present","MaxN","Small_MaxN","Medium_MaxN","Large_MaxN"
"27","FP_201_ASH002",36,2016,NA,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",27.3272,0,NA,20,0,"Other","Low","after","Aprion virescens",112,"Large",TRUE,1,0,12,24
"28","FP_201_ASH003",11,2016,NA,"Carangidae","Carangoides","ferdau","Carangidae Carangoides ferdau",14.4389,0,NA,20,0,"Sand","Low","absent","Carangoides ferdau",70,"Medium",TRUE,1,0,8,3
"29","FP_201_ASH003",11,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",30.9883,0,NA,20,0,"Sand","Low","absent","Caranx melampygus",117,"Large",TRUE,1,0,8,3
"30","FP_201_ASH003",11,2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",15.7022,0,NA,20,0,"Sand","Low","absent","Gymnocranius grandoculis",80,"Medium",TRUE,2,0,8,3
"31","FP_201_ASH003",11,2016,23.305,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",23.305,1,0,20,0,"Sand","Low","absent","Lethrinus microdon",80,"Medium",TRUE,2,0,8,3
"32","FP_201_ASH003",11,2016,23.88,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",6.7378,1,17.1422,20,0,"Sand","Low","absent","Lethrinus olivaceus",100,"Large",TRUE,1,0,8,3
"33","FP_201_ASH003",11,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",5.335,0,NA,20,0,"Sand","Low","absent","Lethrinus rubrioperculatus",50,"Medium",TRUE,3,0,8,3
"34","FP_201_ASH003",11,2016,23.88,"Lutjanidae","Aprion","virescens","Lutjanidae Aprion virescens",23.6261,1,0.253899999999998,20,0,"Sand","Low","absent","Aprion virescens",112,"Large",TRUE,1,0,8,3
"35","FP_201_ASH006",13,2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",18.2677,0,NA,38,0,"Sand","Low","before","Carangoides caeruleopinnatus",NA,NA,TRUE,1,3,4,4
"36","FP_201_ASH006",13,2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",18.2677,0,NA,38,0,"Sand","Low","arrival","Carangoides caeruleopinnatus",NA,NA,TRUE,1,3,4,4
"37","FP_201_ASH006",13,2016,NA,"Carangidae","Carangoides","caeruleopinnatus","Carangidae Carangoides caeruleopinnatus",18.2677,0,NA,38,0,"Sand","Low","after","Carangoides caeruleopinnatus",NA,NA,TRUE,1,3,4,4
"38","FP_201_ASH006",13,2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",43.3456,0,NA,38,0,"Sand","Low","before","Carangoides orthogrammus",75,"Medium",TRUE,1,3,4,4
"39","FP_201_ASH006",13,2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",43.3456,0,NA,38,0,"Sand","Low","arrival","Carangoides orthogrammus",75,"Medium",TRUE,1,3,4,4
"40","FP_201_ASH006",13,2016,NA,"Carangidae","Carangoides","orthogrammus","Carangidae Carangoides orthogrammus",43.3456,0,NA,38,0,"Sand","Low","after","Carangoides orthogrammus",75,"Medium",TRUE,1,3,4,4
"41","FP_201_ASH006",13,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",10.0578,0,NA,38,0,"Sand","Low","before","Caranx melampygus",117,"Large",TRUE,1,3,4,4
"42","FP_201_ASH006",13,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",10.0578,0,NA,38,0,"Sand","Low","arrival","Caranx melampygus",117,"Large",TRUE,1,3,4,4
"43","FP_201_ASH006",13,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",10.0578,0,NA,38,0,"Sand","Low","after","Caranx melampygus",117,"Large",TRUE,1,3,4,4
"44","FP_201_ASH006",13,2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",28.8933,0,NA,38,0,"Sand","Low","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,1,3,4,4
"45","FP_201_ASH006",13,2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",28.8933,0,NA,38,0,"Sand","Low","arrival","Carcharhinus amblyrhynchos",255,"Large",TRUE,1,3,4,4
"46","FP_201_ASH006",13,2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",28.8933,0,NA,38,0,"Sand","Low","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,1,3,4,4
"47","FP_201_ASH006",13,2016,NA,"Lethrinidae","Gymnocranius","sp","Lethrinidae Gymnocranius sp",10.7691,0,NA,38,0,"Sand","Low","before","Gymnocranius sp",NA,NA,TRUE,1,3,4,4
"48","FP_201_ASH006",13,2016,NA,"Lethrinidae","Gymnocranius","sp","Lethrinidae Gymnocranius sp",10.7691,0,NA,38,0,"Sand","Low","arrival","Gymnocranius sp",NA,NA,TRUE,1,3,4,4
"49","FP_201_ASH006",13,2016,NA,"Lethrinidae","Gymnocranius","sp","Lethrinidae Gymnocranius sp",10.7691,0,NA,38,0,"Sand","Low","after","Gymnocranius sp",NA,NA,TRUE,1,3,4,4
"50","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",13.2922,0,NA,38,0,"Sand","Low","before","Lethrinus amboinensis",70,"Medium",TRUE,2,3,4,4
"51","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",13.2922,0,NA,38,0,"Sand","Low","arrival","Lethrinus amboinensis",70,"Medium",TRUE,2,3,4,4
"52","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","amboinensis","Lethrinidae Lethrinus amboinensis",13.2922,0,NA,38,0,"Sand","Low","after","Lethrinus amboinensis",70,"Medium",TRUE,2,3,4,4
"53","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",10.6228,0,NA,38,0,"Sand","Low","before","Lethrinus olivaceus",100,"Large",TRUE,2,3,4,4
"54","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",10.6228,0,NA,38,0,"Sand","Low","arrival","Lethrinus olivaceus",100,"Large",TRUE,2,3,4,4
"55","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",10.6228,0,NA,38,0,"Sand","Low","after","Lethrinus olivaceus",100,"Large",TRUE,2,3,4,4
"56","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","ravus","Lethrinidae Lethrinus ravus",30.7174,0,NA,38,0,"Sand","Low","before","Lethrinus ravus",25,"Small",TRUE,3,3,4,4
"57","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","ravus","Lethrinidae Lethrinus ravus",30.7174,0,NA,38,0,"Sand","Low","arrival","Lethrinus ravus",25,"Small",TRUE,3,3,4,4
"58","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","ravus","Lethrinidae Lethrinus ravus",30.7174,0,NA,38,0,"Sand","Low","after","Lethrinus ravus",25,"Small",TRUE,3,3,4,4
"59","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",30.7174,0,NA,38,0,"Sand","Low","before","Lethrinus rubrioperculatus",50,"Medium",TRUE,1,3,4,4
"60","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",30.7174,0,NA,38,0,"Sand","Low","arrival","Lethrinus rubrioperculatus",50,"Medium",TRUE,1,3,4,4
"61","FP_201_ASH006",13,2016,NA,"Lethrinidae","Lethrinus","rubrioperculatus","Lethrinidae Lethrinus rubrioperculatus",30.7174,0,NA,38,0,"Sand","Low","after","Lethrinus rubrioperculatus",50,"Medium",TRUE,1,3,4,4
"62","FP_201_ASH012",27,2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",35.5239,0,NA,26,0,"Other","Low","before","Carangoides plagiotaenia",50,"Medium",TRUE,1,0,16,11
"63","FP_201_ASH012",27,2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",35.5239,0,NA,26,0,"Other","Low","arrival","Carangoides plagiotaenia",50,"Medium",TRUE,1,0,16,11
"64","FP_201_ASH012",27,2016,NA,"Carangidae","Carangoides","plagiotaenia","Carangidae Carangoides plagiotaenia",35.5239,0,NA,26,0,"Other","Low","after","Carangoides plagiotaenia",50,"Medium",TRUE,1,0,16,11
"65","FP_201_ASH012",27,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",5.3944,0,NA,26,0,"Other","Low","before","Caranx melampygus",117,"Large",TRUE,3,0,16,11
"66","FP_201_ASH012",27,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",5.3944,0,NA,26,0,"Other","Low","arrival","Caranx melampygus",117,"Large",TRUE,3,0,16,11
"67","FP_201_ASH012",27,2016,NA,"Carangidae","Caranx","melampygus","Carangidae Caranx melampygus",5.3944,0,NA,26,0,"Other","Low","after","Caranx melampygus",117,"Large",TRUE,3,0,16,11
"68","FP_201_ASH012",27,2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",15.4939,0,NA,26,0,"Other","Low","before","Carcharhinus amblyrhynchos",255,"Large",TRUE,4,0,16,11
"69","FP_201_ASH012",27,2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",15.4939,0,NA,26,0,"Other","Low","arrival","Carcharhinus amblyrhynchos",255,"Large",TRUE,4,0,16,11
"70","FP_201_ASH012",27,2016,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos","Carcharhinidae Carcharhinus amblyrhynchos",15.4939,0,NA,26,0,"Other","Low","after","Carcharhinus amblyrhynchos",255,"Large",TRUE,4,0,16,11
"71","FP_201_ASH012",27,2016,NA,"Carcharhinidae","Triaenodon","obesus","Carcharhinidae Triaenodon obesus",58.4394,0,NA,26,0,"Other","Low","before","Triaenodon obesus",213,"Large",TRUE,1,0,16,11
"72","FP_201_ASH012",27,2016,NA,"Carcharhinidae","Triaenodon","obesus","Carcharhinidae Triaenodon obesus",58.4394,0,NA,26,0,"Other","Low","arrival","Triaenodon obesus",213,"Large",TRUE,1,0,16,11
"73","FP_201_ASH012",27,2016,NA,"Carcharhinidae","Triaenodon","obesus","Carcharhinidae Triaenodon obesus",58.4394,0,NA,26,0,"Other","Low","after","Triaenodon obesus",213,"Large",TRUE,1,0,16,11
"74","FP_201_ASH012",27,2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",3.7144,0,NA,26,0,"Other","Low","before","Gymnocranius grandoculis",80,"Medium",TRUE,10,0,16,11
"75","FP_201_ASH012",27,2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",3.7144,0,NA,26,0,"Other","Low","arrival","Gymnocranius grandoculis",80,"Medium",TRUE,10,0,16,11
"76","FP_201_ASH012",27,2016,NA,"Lethrinidae","Gymnocranius","grandoculis","Lethrinidae Gymnocranius grandoculis",3.7144,0,NA,26,0,"Other","Low","after","Gymnocranius grandoculis",80,"Medium",TRUE,10,0,16,11
"77","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",27.4428,0,NA,26,0,"Other","Low","before","Lethrinus microdon",80,"Medium",TRUE,1,0,16,11
"78","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",27.4428,0,NA,26,0,"Other","Low","arrival","Lethrinus microdon",80,"Medium",TRUE,1,0,16,11
"79","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","microdon","Lethrinidae Lethrinus microdon",27.4428,0,NA,26,0,"Other","Low","after","Lethrinus microdon",80,"Medium",TRUE,1,0,16,11
"80","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",4.0261,0,NA,26,0,"Other","Low","before","Lethrinus olivaceus",100,"Large",TRUE,3,0,16,11
"81","FP_201_ASH012",27,2016,NA,"Lethrinidae","Lethrinus","olivaceus","Lethrinidae Lethrinus olivaceus",4.0261,0,NA,26,0,"Other","Low","arrival","Lethrinus olivaceus",100,"Large",TRUE,3,0,16,11
