Bruvs,Spec,SumOfMAXNUM,CRUISENUM,LOCATION,FAMILY,GENUS,SPECIES,CAABCODE,STAGE,TIMEFIRSTSEEN,TIMEMAXNUMSEEN,TIMEFIRSTFEED,ACTIVITY,TAPEREADER
"DEH_7, 3",Pentapodus vitta,15,30,Ashmore Reef,Nemipteridae,Pentapodus,vitta,37347022,AD,2.15,3.23333,4.18333,F,Ross Marriott
"DEH_7, 3",Unknown sp2,8,30,Ashmore Reef,Lethrinidae,Unknown,sp2,37990495,AD,4.4,4.41666,,P,Ross Marriott
"DEH_7, 4",Aprion virescens,1,30,Ashmore Reef,Lutjanidae,Aprion,virescens,37346027,AD,5.6,5.6,,P,Ross Marriott
"DEH_7, 4",Balistoides viridescens,1,30,Ashmore Reef,Balistidae,Balistoides,viridescens,37465048,AD,9.51666,9.51666,,P,Ross Marriott
"DEH_7, 4",Echeneis naucrates,1,30,Ashmore Reef,Echeneidae,Echeneis,naucrates,37336001,AD,39.38334,39.38334,,P,Ross Marriott
"DEH_7, 4",Lethrinus olivaceus,2,30,Ashmore Reef,Lethrinidae,Lethrinus,olivaceus,37351004,AD,18.61667,56.31667,,P,Ross Marriott
"DEH_7, 5",Lethrinus amboinensis,2,30,Ashmore Reef,Lethrinidae,Lethrinus,amboinensis,37351024,JUV,4.06666,6.73333,,P,Ross Marriott
"DEH_7, 4",Parupeneus heptacanthus,2,30,Ashmore Reef,Mullidae,Parupeneus,heptacanthus,37355004,AD,36.21667,36.23333,,P,Ross Marriott
"DEH_8, 1",Pentapodus vitta,8,30,Ashmore Reef,Nemipteridae,Pentapodus,vitta,37347022,AD,7.18333,13.78333,13.83333,"F,SC",Ross Marriott
"DEH_7, 4",Unknown sp3,1,30,Ashmore Reef,Acanthuridae,Unknown,sp3,37990497,AD,30.11667,30.11667,,P,Ross Marriott
"DEH_7, 5",Acanthurus dussumieri,1,30,Ashmore Reef,Acanthuridae,Acanthurus,dussumieri,37437008,AD,25.45,25.45,,P,Ross Marriott
"DEH_7, 5",Aprion virescens,1,30,Ashmore Reef,Lutjanidae,Aprion,virescens,37346027,AD,19.91667,19.91667,,P,Ross Marriott
"DEH_7, 5",Carangoides ferdau,1,30,Ashmore Reef,Carangidae,Carangoides,ferdau,37337068,AD,9.45,9.45,,P,Ross Marriott
"DEH_7, 5",Carangoides gymnostethus,1,30,Ashmore Reef,Carangidae,Carangoides,gymnostethus,37337022,AD,7.96666,7.96666,,P,Ross Marriott
"DEH_7, 5",Chaetodon lineolatus,2,30,Ashmore Reef,Chaetodontidae,Chaetodon,lineolatus,37365041,AD,6.45,6.95,,P,Ross Marriott
"DEH_7, 5",Chaetodon lunula,1,30,Ashmore Reef,Chaetodontidae,Chaetodon,lunula,37365042,AD,48.05,48.05,,P,Ross Marriott
"DEH_7, 4",Lethrinus rubrioperculatus,2,30,Ashmore Reef,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD,26.25,36.21667,26.36667,F,Ross Marriott
"DEH_8, 3",Scolopsis xenochrous,7,30,Ashmore Reef,Nemipteridae,Scolopsis,xenochrous,37347035,AD,5.71666,39.8,,P,Ross Marriott
"DEH_8, 3",Lethrinus amboinensis,1,30,Ashmore Reef,Lethrinidae,Lethrinus,amboinensis,37351024,AD,62.26667,62.26667,,P,Ross Marriott
"DEH_8, 3",Lethrinus rubrioperculatus,17,30,Ashmore Reef,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD,2.13333,41.8,10.71667,F,Ross Marriott
"DEH_8, 3",Lethrinus semicinctus,15,30,Ashmore Reef,Lethrinidae,Lethrinus,semicinctus,37351016,AD,2.5,26.96667,10.58333,F,Ross Marriott
"DEH_8, 3",Naso caesius,1,30,Ashmore Reef,Acanthuridae,Naso,caesius,37437046,AD,24.58333,24.58333,,P,Ross Marriott
"DEH_8, 3",Parupeneus barberinoides,1,30,Ashmore Reef,Mullidae,Parupeneus,barberinoides,37355021,AD,2.93333,2.93333,,P,Ross Marriott
"DEH_8, 3",Parupeneus multifasciatus,2,30,Ashmore Reef,Mullidae,Parupeneus,multifasciatus,37355026,AD,2.63333,3.03333,,P,Ross Marriott
"DEH_8, 3",Pentapodus aureofasciatus,25,30,Ashmore Reef,Nemipteridae,Pentapodus,aureofasciatus,37347029,AD,2.6,3.21666,,P,Ross Marriott
"DEH_8, 1",Parupeneus multifasciatus,9,30,Ashmore Reef,Mullidae,Parupeneus,multifasciatus,37355026,AD,2.35,22.71667,16.26667,F,Ross Marriott
"DEH_8, 3",Pomacanthus imperator,2,30,Ashmore Reef,Pomacanthidae,Pomacanthus,imperator,37365014,AD,11.11667,11.46667,,P,Ross Marriott
"DEH_8, 3",Coradion altivelis,1,30,Ashmore Reef,Chaetodontidae,Coradion,altivelis,37365018,AD,2.75,2.75,,P,Ross Marriott
"DEH_8, 3",Sufflamen fraenatum,1,30,Ashmore Reef,Balistidae,Sufflamen,fraenatum,37465014,AD,1.65,1.65,,P,Ross Marriott
"DEH_8, 3",Unknown sp4,1,30,Ashmore Reef,Muraenidae,Unknown,sp4,37990529,AD,19.7,19.7,19.9,"F,CO",Ross Marriott
"DEH_8, 3",Variola albimarginata,2,30,Ashmore Reef,Serranidae,Variola,albimarginata,37311026,AD,1.63333,12.51667,,"P,SC",Ross Marriott
"DEH_8, 4",Abalistes stellatus,2,30,Ashmore Reef,Balistidae,Abalistes,stellatus,37465011,AD,2.58333,35.1,18.66667,"F,CO",Ross Marriott
"DEH_8, 4",Carangoides gymnostethus,5,30,Ashmore Reef,Carangidae,Carangoides,gymnostethus,37337022,AD,9.56666,19.86667,,P,Ross Marriott
"DEH_8, 4",Echeneis naucrates,1,30,Ashmore Reef,Echeneidae,Echeneis,naucrates,37336001,AD,27.56667,27.56667,,P,Ross Marriott
"DEH_8, 4",Labroides dimidiatus,2,30,Ashmore Reef,Labridae,Labroides,dimidiatus,37384028,AD,4.38333,4.41666,,P,Ross Marriott
"DEH_8, 3",Pentapodus emeryii,1,30,Ashmore Reef,Nemipteridae,Pentapodus,emeryii,37347027,AD,14.36667,14.36667,,P,Ross Marriott
"DEH_8, 2",Rachycentron canadum,1,30,Ashmore Reef,Rachycentridae,Rachycentron,canadum,37335001,AD,19.78333,19.78333,,P,Ross Marriott
"DEH_7, 3",Gymnocranius grandoculis,1,30,Ashmore Reef,Lethrinidae,Gymnocranius,grandoculis,37351005,AD,26,26,,P,Ross Marriott
"DEH_8, 1",Scolopsis xenochrous,5,30,Ashmore Reef,Nemipteridae,Scolopsis,xenochrous,37347035,AD,2.88333,28.9,,P,Ross Marriott
"DEH_8, 1",Unknown sp4,1,30,Ashmore Reef,Muraenidae,Unknown,sp4,37990529,AD,20.86667,20.86667,20.86667,F,Ross Marriott
"DEH_8, 2",Abalistes stellatus,1,30,Ashmore Reef,Balistidae,Abalistes,stellatus,37465011,AD,31.85,31.85,,P,Ross Marriott
"DEH_8, 2",Coris pictoides,2,30,Ashmore Reef,Labridae,Coris,pictoides,37384096,AD,2.63333,2.71666,,P,Ross Marriott
"DEH_8, 2",Iniistius pavo,1,30,Ashmore Reef,Labridae,Iniistius,pavo,37384177,AD,52.98333,52.98333,,P,Ross Marriott
"DEH_8, 2",Lethrinus rubrioperculatus,8,30,Ashmore Reef,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD,2.48333,13.5,38.93333,F,Ross Marriott
"DEH_8, 3",Labroides dimidiatus,1,30,Ashmore Reef,Labridae,Labroides,dimidiatus,37384028,AD,51.11666,51.11666,,P,Ross Marriott
"DEH_8, 2",Pentapodus vitta,6,30,Ashmore Reef,Nemipteridae,Pentapodus,vitta,37347022,JUV,5.2,5.28333,60.55,F,Ross Marriott
"DEH_8, 3",Hemipristis elongata,1,30,Ashmore Reef,Hemigaleidae,Hemipristis,elongata,37018011,AD,25.15,25.15,,"P,CO",Ross Marriott
"DEH_8, 2",Rhynchobatus djiddensis,1,30,Ashmore Reef,Rhinidae,Rhynchobatus,djiddensis,37026001,AD,56.5,56.5,57.7,F,Ross Marriott
"DEH_8, 2",Unknown sp3,2,30,Ashmore Reef,Lethrinidae,Unknown,sp3,37990530,AD,58.76667,59.5,,P,Ross Marriott
"DEH_8, 3",Abalistes stellatus,1,30,Ashmore Reef,Balistidae,Abalistes,stellatus,37465011,AD,13.61667,13.61667,,P,Ross Marriott
"DEH_8, 3",Acanthurus auranticavus,1,30,Ashmore Reef,Acanthuridae,Acanthurus,auranticavus,37437005,AD,15.31667,15.31667,,P,Ross Marriott
"DEH_8, 3",Apolemichthys trimaculatus,2,30,Ashmore Reef,Pomacanthidae,Apolemichthys,trimaculatus,37365016,AD,40.83333,41.21667,,P,Ross Marriott
"DEH_8, 3",Carangoides caeruleopinnatus,2,30,Ashmore Reef,Carangidae,Carangoides,caeruleopinnatus,37337021,AD,25.3,38.65,,P,Ross Marriott
"DEH_8, 3",Chaetodon kleinii,1,30,Ashmore Reef,Chaetodontidae,Chaetodon,kleinii,37365040,AD,2.61666,2.61666,,P,Ross Marriott
"DEH_8, 1",Pentapodus emeryii,3,30,Ashmore Reef,Nemipteridae,Pentapodus,emeryii,37347027,AD,4.66666,22.41667,,P,Ross Marriott
"DEH_8, 2",Parupeneus barberinoides,3,30,Ashmore Reef,Mullidae,Parupeneus,barberinoides,37355021,AD,2.9,3.15,,P,Ross Marriott
"DEH_3, 4",Unknown sp18,1,30,Ashmore Reef,Scaridae,Unknown,sp18,37990548,AD,6.73333,6.73333,,P,Ross Marriott
"DEH_3, 4",Echeneis naucrates,1,30,Ashmore Reef,Echeneidae,Echeneis,naucrates,37336001,AD,48.33333,48.33333,,P,Ross Marriott
"DEH_3, 4",Pomacanthus imperator,1,30,Ashmore Reef,Pomacanthidae,Pomacanthus,imperator,37365014,AD,5.56666,5.56666,,P,Ross Marriott
"DEH_3, 4",Pomacanthus semicirculatus,1,30,Ashmore Reef,Pomacanthidae,Pomacanthus,semicirculatus,37365080,AD,12.43333,12.43333,,P,Ross Marriott
"DEH_3, 4",Pomacentrus bankanensis,15,30,Ashmore Reef,Pomacentridae,Pomacentrus,bankanensis,37372108,AD,0.7,1.2,,P,Ross Marriott
"DEH_3, 4",Pomacentrus coelestis,7,30,Ashmore Reef,Pomacentridae,Pomacentrus,coelestis,37372111,AD,0.71666,7.81666,,P,Ross Marriott
"DEH_3, 4",Scolopsis xenochrous,1,30,Ashmore Reef,Nemipteridae,Scolopsis,xenochrous,37347035,AD,11.55,11.55,,P,Ross Marriott
"DEH_3, 4",Siganus punctatus,2,30,Ashmore Reef,Siganidae,Siganus,punctatus,37438003,AD,19.56667,19.56667,,P,Ross Marriott
"DEH_3, 4",Parupeneus multifasciatus,3,30,Ashmore Reef,Mullidae,Parupeneus,multifasciatus,37355026,AD,2.25,4.08333,,P,Ross Marriott
"DEH_3, 4",Triaenodon obesus,1,30,Ashmore Reef,Carcharhinidae,Triaenodon,obesus,37018038,AD,48.33333,48.33333,,P,Ross Marriott
"DEH_3, 4",Odonus niger,1,30,Ashmore Reef,Balistidae,Odonus,niger,37465061,AD,30.76667,30.76667,,P,Ross Marriott
"DEH_3, 4",Variola albimarginata,1,30,Ashmore Reef,Serranidae,Variola,albimarginata,37311026,AD,5.66666,5.66666,,P,Ross Marriott
"DEH_3, 4",Zanclus cornutus,2,30,Ashmore Reef,Zanclidae,Zanclus,cornutus,37437001,AD,1.06666,1.58333,,P,Ross Marriott
"DEH_3, 4",Zebrasoma scopas,2,30,Ashmore Reef,Acanthuridae,Zebrasoma,scopas,37437036,AD,1.38333,1.45,,P,Ross Marriott
"DEH_3, 6",Acanthurus olivaceus,1,30,Ashmore Reef,Acanthuridae,Acanthurus,olivaceus,37437016,AD,4.85,4.85,,P,Ross Marriott
"DEH_3, 6",Apolemichthys trimaculatus,1,30,Ashmore Reef,Pomacanthidae,Apolemichthys,trimaculatus,37365016,AD,5.73333,5.73333,,P,Ross Marriott
"DEH_3, 6",Chaetodon auriga,2,30,Ashmore Reef,Chaetodontidae,Chaetodon,auriga,37365019,AD,52.51667,52.61666,,P,Ross Marriott
"DEH_3, 6",Echeneis naucrates,1,30,Ashmore Reef,Echeneidae,Echeneis,naucrates,37336001,AD,11.25,11.25,,P,Ross Marriott
"DEH_3, 4",Sufflamen chrysopterum,1,30,Ashmore Reef,Balistidae,Sufflamen,chrysopterum,37465079,AD,0.78333,0.78333,,P,Ross Marriott
"DEH_3, 4",Lethrinus rubrioperculatus,1,30,Ashmore Reef,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD,2.78333,2.78333,,P,Ross Marriott
"DEH_4, 3",Acanthurus dussumieri,8,30,Ashmore Reef,Acanthuridae,Acanthurus,dussumieri,37437008,AD,10.33333,15.8,,P,Ross Marriott
"DEH_3, 4",Gomphosus varius,1,30,Ashmore Reef,Labridae,Gomphosus,varius,37384106,AD,1.7,1.7,,P,Ross Marriott
"DEH_3, 4",Halichoeres hortulanus,1,30,Ashmore Reef,Labridae,Halichoeres,hortulanus,37384112,AD,1.35,1.35,,P,Ross Marriott
"DEH_3, 4",Halichoeres marginatus,1,30,Ashmore Reef,Labridae,Halichoeres,marginatus,37384114,AD,1.45,1.45,,P,Ross Marriott
"DEH_3, 4",Halichoeres melanochir,1,30,Ashmore Reef,Labridae,Halichoeres,melanochir,37384115,AD,1.36666,1.36666,,P,Ross Marriott
"DEH_3, 4",Hemigymnus melapterus,1,30,Ashmore Reef,Labridae,Hemigymnus,melapterus,37384125,AD,18.6,18.6,,P,Ross Marriott
"DEH_3, 4",Hologymnosus doliatus,1,30,Ashmore Reef,Labridae,Hologymnosus,doliatus,37384127,AD,2.4,2.4,,P,Ross Marriott
"DEH_3, 4",Pentapodus emeryii,1,30,Ashmore Reef,Nemipteridae,Pentapodus,emeryii,37347027,AD,37.85,37.85,,P,Ross Marriott
"DEH_3, 4",Lethrinus atkinsoni,1,30,Ashmore Reef,Lethrinidae,Lethrinus,atkinsoni,37351013,AD,12.85,12.85,,P,Ross Marriott
"DEH_3, 6",Lethrinus rubrioperculatus,3,30,Ashmore Reef,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD,3.11666,6.6,,P,Ross Marriott
"DEH_3, 4",Lutjanus bohar,1,30,Ashmore Reef,Lutjanidae,Lutjanus,bohar,37346029,AD,9.76666,9.76666,,P,Ross Marriott
"DEH_3, 4",Lutjanus decussatus,1,30,Ashmore Reef,Lutjanidae,Lutjanus,decussatus,37346041,AD,6.28333,6.28333,,P,Ross Marriott
"DEH_3, 4",Lutjanus semicinctus,1,30,Ashmore Reef,Lutjanidae,Lutjanus,semicinctus,37346046,AD,8.51666,8.51666,,P,Ross Marriott
"DEH_3, 4",Monotaxis grandoculis,1,30,Ashmore Reef,Lethrinidae,Monotaxis,grandoculis,37351026,AD,49.58333,49.58333,,P,Ross Marriott
"DEH_3, 4",Naso caesius,2,30,Ashmore Reef,Acanthuridae,Naso,caesius,37437046,AD,30.8,30.83333,,P,Ross Marriott
"DEH_3, 4",Naso lituratus,2,30,Ashmore Reef,Acanthuridae,Naso,lituratus,37437029,AD,6.95,19.7,,P,Ross Marriott
"DEH_3, 4",Neotrygon australiae,1,30,Ashmore Reef,Dasyatidae,Neotrygon,australiae,37035004,AD,25.63333,25.63333,,P,Ross Marriott
"DEH_3, 4",Labroides dimidiatus,2,30,Ashmore Reef,Labridae,Labroides,dimidiatus,37384028,AD,1.3,1.35,,P,Ross Marriott
"DEH_4, 2",Lethrinus nebulosus,1,30,Ashmore Reef,Lethrinidae,Lethrinus,nebulosus,37351008,AD,45.06667,45.06667,,P,Ross Marriott
"DEH_4, 1",Unknown sp4,1,30,Ashmore Reef,Tetraodontidae,Unknown,sp4,37990552,AD,61.01667,61.01667,,P,Ross Marriott
"DEH_4, 2",Aprion virescens,1,30,Ashmore Reef,Lutjanidae,Aprion,virescens,37346027,AD,1.65,1.65,,P,Ross Marriott
"DEH_4, 2",Carangoides ferdau,1,30,Ashmore Reef,Carangidae,Carangoides,ferdau,37337068,AD,3.26666,3.26666,,P,Ross Marriott
"DEH_4, 2",Carangoides orthogrammus,1,30,Ashmore Reef,Carangidae,Carangoides,orthogrammus,37337057,AD,15.83333,15.83333,,P,Ross Marriott
"DEH_4, 2",Caranx melampygus,3,30,Ashmore Reef,Carangidae,Caranx,melampygus,37337050,AD,7.3,34.5,,P,Ross Marriott
"DEH_4, 2",Cirrhilabrus sp,4,30,Ashmore Reef,Labridae,Cirrhilabrus,sp,37384910,AD,27.58333,27.85,,P,Ross Marriott
"DEH_4, 2",Fistularia sp,1,30,Ashmore Reef,Fistulariidae,Fistularia,sp,37278900,AD,13.3,13.3,,P,Ross Marriott
"DEH_3, 6",Hologymnosus doliatus,1,30,Ashmore Reef,Labridae,Hologymnosus,doliatus,37384127,AD,3.68333,3.68333,,P,Ross Marriott
"DEH_4, 2",Lethrinus amboinensis,1,30,Ashmore Reef,Lethrinidae,Lethrinus,amboinensis,37351024,AD,2.8,2.8,58.13334,F,Ross Marriott
"DEH_4, 1",Aprion virescens,1,30,Ashmore Reef,Lutjanidae,Aprion,virescens,37346027,AD,19.35,19.35,,P,Ross Marriott
"DEH_4, 2",Lethrinus rubrioperculatus,2,30,Ashmore Reef,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD,4.43333,8.51666,,P,Ross Marriott
"DEH_4, 2",Parupeneus barberinus,1,30,Ashmore Reef,Mullidae,Parupeneus,barberinus,37355022,AD,7.55,7.55,,P,Ross Marriott
"DEH_4, 2",Parupeneus cyclostomus,1,30,Ashmore Reef,Mullidae,Parupeneus,cyclostomus,37355025,AD,33.35,33.35,,P,Ross Marriott
"DEH_4, 2",Pomacentrus coelestis,1,30,Ashmore Reef,Pomacentridae,Pomacentrus,coelestis,37372111,AD,15.5,15.5,,P,Ross Marriott
"DEH_4, 2",Pseudobalistes fuscus,1,30,Ashmore Reef,Balistidae,Pseudobalistes,fuscus,37465027,AD,48.15,48.15,,P,Ross Marriott
"DEH_4, 2",Siganus punctatus,1,30,Ashmore Reef,Siganidae,Siganus,punctatus,37438003,AD,1.86666,1.86666,,P,Ross Marriott
"DEH_5, 5",Pterocaesio marri,20,30,Ashmore Reef,Caesionidae,Pterocaesio,marri,37346068,AD,29.46667,36.66667,,P,Ross Marriott
"DEH_4, 2",Gymnocranius grandoculis,2,30,Ashmore Reef,Lethrinidae,Gymnocranius,grandoculis,37351005,AD,2.15,2.21666,,P,Ross Marriott
"DEH_3, 6",Pomacentrus coelestis,2,30,Ashmore Reef,Pomacentridae,Pomacentrus,coelestis,37372111,AD,45.21667,45.28333,,P,Ross Marriott
"DEH_3, 4",Cirrhilabrus exquisitus,4,30,Ashmore Reef,Labridae,Cirrhilabrus,exquisitus,37384080,AD,11.3,11.41667,,P,Ross Marriott
"DEH_3, 6",Lutjanus gibbus,2,30,Ashmore Reef,Lutjanidae,Lutjanus,gibbus,37346028,AD,52.01667,54.68333,,P,Ross Marriott
"DEH_3, 6",Malacanthus brevirostris,3,30,Ashmore Reef,Malacanthidae,Malacanthus,brevirostris,37331009,AD,6.7,30.78333,,P,Ross Marriott
"DEH_3, 6",Malacanthus latovittatus,1,30,Ashmore Reef,Malacanthidae,Malacanthus,latovittatus,37331010,AD,2.46666,2.46666,,P,Ross Marriott
"DEH_3, 6",Neotrygon australiae,1,30,Ashmore Reef,Dasyatidae,Neotrygon,australiae,37035004,AD,35.05,35.05,,P,Ross Marriott
"DEH_3, 6",Parupeneus barberinus,1,30,Ashmore Reef,Mullidae,Parupeneus,barberinus,37355022,AD,3.53333,3.53333,,P,Ross Marriott
"DEH_3, 6",Parupeneus multifasciatus,1,30,Ashmore Reef,Mullidae,Parupeneus,multifasciatus,37355026,AD,4.56666,4.56666,,P,Ross Marriott
"DEH_4, 1",Unknown sp10,2,30,Ashmore Reef,Pomacentridae,Unknown,sp10,37991847,AD,51.33333,51.4,,P,Ross Marriott
