OpCode,Frame,Time first seen (mins),TapeReader,Depth,Family,Genus,Species,Code,Stage
FP_201_ASH025,21271,11.8291,"CWS, BV",5.3,Serranidae,Variola,albimarginata,37311026,AD
FP_201_ASH028,57009,31.7034,"CWS, BV",37,Carangidae,Carangoides,ferdau,37337068,AD
FP_201_ASH028,21660,12.0454,"CWS, BV",37,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH028,67944,37.7845,"CWS, BV",37,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH028,79037,43.9534,"CWS, BV",37,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH028,71410,39.7119,"CWS, BV",37,Lethrinidae,Lethrinus,amboinensis,37351024,AD
FP_201_ASH028,111496,62.0042,"CWS, BV",37,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH028,97041,53.9656,"CWS, BV",37,Scombridae,Scomberomorus,queenslandicus,37441014,AD
FP_201_ASH033,83803,46.6038,CWS,25,Carangidae,Carangoides,ferdau,37337068,AD
FP_201_ASH033,30636,17.037,CWS,25,Carangidae,Caranx,ignobilis,37337027,AD
FP_201_ASH033,28647,15.9309,CWS,25,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH033,11198,6.2273,CWS,25,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH033,32739,18.2065,CWS,25,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH033,22614,12.5759,CWS,25,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH033,18491,10.2831,CWS,25,Lethrinidae,Lethrinus,amboinensis,37351024,AD
FP_201_ASH033,28564,15.8848,CWS,25,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH033,6003,3.3383,CWS,25,Lethrinidae,Lethrinus,ravus,37351031,AD
FP_201_ASH033,11114,6.1806,CWS,25,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH033,21627,12.027,CWS,25,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH033,44018,24.4789,CWS,25,Scombridae,Scomberomorus,commerson,37441007,AD
FP_201_ASH035,4531,2.5197,"CWS, BV",4,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH035,13645,7.5881,"CWS, BV",4,Carangidae,Caranx,ignobilis,37337027,AD
FP_201_ASH035,8606,4.7859,"CWS, BV",4,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH035,14985,8.3333,"CWS, BV",4,Carangidae,Scomberoides,lysan,37337046,AD
FP_201_ASH035,47038,26.1584,"CWS, BV",4,Cheloniidae,,sp,,AD
FP_201_ASH035,60538,33.6659,"CWS, BV",4,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH035,8702,4.8393,"CWS, BV",4,Lutjanidae,Lutjanus,bohar,37346029,J
FP_201_ASH035,4128,2.2956,"CWS, BV",4,Lutjanidae,Lutjanus,decussatus,37346041,AD
FP_201_ASH035,49024,27.2628,"CWS, BV",4,Serranidae,Cephalopholis,sp,,AD
FP_201_ASH035,12640,7.0293,"CWS, BV",4,Serranidae,Variola,albimarginata,37311026,AD
