MaxN

Generated: Friday, January 12, 2018 14:52:36

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
FP_201_ASH004.avi	 108757	  60.4205			FP_201_ASH004	CWS	40										Nemipteridae	Pentapodus	emeryii	37347027	2	No
FP_201_ASH004.avi	  77193	  42.8850			FP_201_ASH004	CWS	40										Rhynchobatidae	Rhynchobatus	laevis	37026003	1	No
FP_201_ASH029.avi	  33873	  18.8372			FP_201_ASH029	CWS, BV	26										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH029.avi	  81230	  45.1730			FP_201_ASH029	CWS, BV	26										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	No
FP_201_ASH029.avi	  38605	  21.4687			FP_201_ASH029	CWS, BV	26										Carcharhinidae	Triaenodon	obesus	37018038	1	No
FP_201_ASH029.avi	  45035	  25.0445			FP_201_ASH029	CWS, BV	26										Cheloniidae		sp		1	No
FP_201_ASH029.avi	  94885	  52.7667			FP_201_ASH029	CWS, BV	26										Lethrinidae	Lethrinus	xanthochilus	37351020	3	No
FP_201_ASH029.avi	   8072	   4.4889			FP_201_ASH029	CWS, BV	26										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH029.avi	  37242	  20.7107			FP_201_ASH029	CWS, BV	26										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH029.avi	  92938	  51.6839			FP_201_ASH029	CWS, BV	26										Lutjanidae	Lutjanus	decussatus	37346041	2	No
FP_201_ASH029.avi	   6343	   3.5274			FP_201_ASH029	CWS, BV	26										Lutjanidae	Lutjanus	gibbus	37346028	2	No
FP_201_ASH029.avi	  37737	  20.9860			FP_201_ASH029	CWS, BV	26										Muraenidae	Gymnothorax	fimbriatus	37060035	1	Yes
FP_201_ASH029.avi	 104312	  58.0091			FP_201_ASH029	CWS, BV	26										Serranidae		sp		1	No
FP_201_ASH029.avi	  13868	   7.7122			FP_201_ASH029	CWS, BV	26										Serranidae	Variola	albimarginata	37311026	1	No
FP_201_ASH022.avi	   4285	   2.3829			FP_201_ASH022	CWS, BV	18.2										Carangidae	Caranx	melampygus	37337050	1	Yes
FP_201_ASH022.avi	  14821	   8.2421			FP_201_ASH022	CWS, BV	18.2										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	Yes
FP_201_ASH022.avi	  15287	   8.5013			FP_201_ASH022	CWS, BV	18.2										Carcharhinidae	Triaenodon	obesus	37018038	1	Yes
FP_201_ASH022.avi	  11871	   6.6016			FP_201_ASH022	CWS, BV	18.2										Lethrinidae	Lethrinus	atkinsoni	37351013	2	No
FP_201_ASH022.avi	  21182	  11.7796			FP_201_ASH022	CWS, BV	18.2										Lethrinidae	Lethrinus	xanthochilus	37351020	1	No
FP_201_ASH022.avi	  30473	  16.9464			FP_201_ASH022	CWS, BV	18.2										Lutjanidae	Lutjanus	bohar	37346029	2	Yes
FP_201_ASH022.avi	  22353	  12.4308			FP_201_ASH022	CWS, BV	18.2										Lutjanidae	Lutjanus	gibbus	37346028	8	No
FP_201_ASH022.avi	   4723	   2.6265			FP_201_ASH022	CWS, BV	18.2										Lutjanidae	Macolor	macularis	37346047	3	No
FP_201_ASH022.avi	  19494	  10.8408			FP_201_ASH022	CWS, BV	18.2										Serranidae	Cephalopholis	argus	37311082	2	No
FP_201_ASH022.avi	  38057	  21.1639			FP_201_ASH022	CWS, BV	18.2										Serranidae	Cephalopholis	urodeta	37311142	2	Yes
FP_201_ASH022.avi	  15903	   8.8438			FP_201_ASH022	CWS, BV	18.2										Serranidae	Variola	louti	37311166	2	No
FP_201_ASH023.avi	  40634	  22.5970			FP_201_ASH023	CWS	20.6										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	2	No
FP_201_ASH023.avi	  31497	  17.5158			FP_201_ASH023	CWS	20.6										Carcharhinidae	Triaenodon	obesus	37018038	1	No
FP_201_ASH025.avi	  74051	  41.1806			FP_201_ASH025	CWS, BV	5.3										Carangidae	Carangoides	plagiotaenia	37337070	1	No
FP_201_ASH025.avi	  57005	  31.7011			FP_201_ASH025	CWS, BV	5.3										Carangidae	Caranx	melampygus	37337050	1	No
FP_201_ASH025.avi	  86429	  48.0642			FP_201_ASH025	CWS, BV	5.3										Lutjanidae	Aprion	virescens	37346027	1	No
FP_201_ASH025.avi	  37782	  21.0110			FP_201_ASH025	CWS, BV	5.3										Lutjanidae	Lutjanus	bohar	37346029	1	No
FP_201_ASH025.avi	  65547	  36.4515			FP_201_ASH025	CWS, BV	5.3										Lutjanidae	Lutjanus	rivulatus	37346016	1	Yes
FP_201_ASH025.avi	  83021	  46.1689			FP_201_ASH025	CWS, BV	5.3										Rhynchobatidae	Rhynchobatus	laevis	37026003	1	No
FP_201_ASH025.avi	  59462	  33.0675			FP_201_ASH025	CWS, BV	5.3										Serranidae	Plectropomus	laevis	37311079	1	No
FP_201_ASH025.avi	  21271	  11.8291			FP_201_ASH025	CWS, BV	5.3										Serranidae	Variola	albimarginata	37311026	1	No
FP_201_ASH012.avi	  63943	  35.5239			FP_201_ASH012	CWS	26.6										Carangidae	Carangoides	plagiotaenia	37337070	1	No
FP_201_ASH012.avi	  55223	  30.6794			FP_201_ASH012	CWS	26.6										Carangidae	Caranx	melampygus	37337050	3	No
FP_201_ASH012.avi	  75438	  41.9100			FP_201_ASH012	CWS	26.6										Carcharhinidae	Carcharhinus	amblyrhynchos	37018030	4	No
FP_201_ASH012.avi	 105191	  58.4394			FP_201_ASH012	CWS	26.6										Carcharhinidae	Triaenodon	obesus	37018038	1	No
FP_201_ASH012.avi	  49982	  27.7678			FP_201_ASH012	CWS	26.6										Lethrinidae	Gymnocranius	grandoculis	37351005	10	No
FP_201_ASH012.avi	  49397	  27.4428			FP_201_ASH012	CWS	26.6										Lethrinidae	Lethrinus	microdon	37351011	1	No
FP_201_ASH012.avi	  57696	  32.0533			FP_201_ASH012	CWS	26.6										Lethrinidae	Lethrinus	olivaceus	37351004	3	No
FP_201_ASH012.avi	  49475	  27.4861			FP_201_ASH012	CWS	26.6										Lethrinidae	Lethrinus	rubrioperculatus	37351012	4	No
FP_201_ASH013.avi	  39442	  21.9122			FP_201_ASH013	CWS	25.2														1	No
